dimension,group,n_group,status,n,pct_within_group,pct_of_unemployed
Sugu,mees,2593,not sent,551,0.21249517932896259,0.11028823058446757
Sugu,mees,2593,not participated,109,0.04203625144620131,0.021817453963170537
Sugu,mees,2593,participated,1933,0.7454685692248361,0.3869095276220977
Sugu,naine,2403,not sent,516,0.21473158551810237,0.10328262610088071
Sugu,naine,2403,not participated,56,0.023304203079483977,0.01120896717373899
Sugu,naine,2403,participated,1831,0.7619642114024137,0.3664931945556445
